decile,customers,conversions,conversion_rate,cumulative_customers,cumulative_conversions,cumulative_conversion_rate
1,853,16,0.01875732708089097,853,16,0.01875732708089097
2,852,13,0.015258215962441314,1705,29,0.017008797653958945
3,852,10,0.011737089201877934,2557,39,0.015252248728979272
4,852,16,0.018779342723004695,3409,55,0.016133763567028454
5,853,6,0.007033997655334115,4262,61,0.014312529328953542
6,852,3,0.0035211267605633804,5114,64,0.012514665623777864
7,852,2,0.002347417840375587,5966,66,0.011062688568555145
8,852,2,0.002347417840375587,6818,68,0.009973599295981225
9,852,5,0.005868544600938967,7670,73,0.009517601043024772
10,853,5,0.005861664712778429,8523,78,0.009151707145371349
