segment_variable,segment_value,customers,treated_customers,control_customers,treatment_conversion_rate,control_conversion_rate,observed_uplift,absolute_incremental_conversions,caution_flag
history_segment,"6) $750 - $1,000",1266,644,622,0.024844720496894408,0.00482315112540193,0.02002156937149248,25.347306824309477,ok
channel,Multichannel,5183,2577,2606,0.017074117190531625,0.006907137375287797,0.010166979815243827,52.69545638240876,ok
history_bucket,High history,14204,7092,7112,0.017766497461928935,0.008295838020247468,0.009470659441681467,134.52124670964355,ok
history_segment,"7) $1,000 +",880,464,416,0.023706896551724137,0.014423076923076924,0.009283819628647213,8.169761273209547,ok
history_segment,4) $350 - $500,4221,2097,2124,0.020028612303290415,0.011299435028248588,0.008729177275041827,36.84585727795155,ok
history_segment,3) $200 - $350,8134,4090,4044,0.015403422982885086,0.006923837784371909,0.008479585198513176,68.97294600470617,ok
history_segment,5) $500 - $750,3249,1597,1652,0.013775829680651221,0.005447941888619854,0.008327887792031367,27.05730743630991,ok
recency_bucket,Low recency,14205,7118,7087,0.016577690362461366,0.009030619444052491,0.0075470709184088745,107.20614239599806,ok
newbie,1,21381,10686,10695,0.011136065880591428,0.0037400654511453952,0.007396000429446033,158.13388518198565,ok
recency_bucket,High recency,14204,7167,7037,0.010185572764057486,0.002842120221685377,0.007343452542372109,104.30639991185345,ok
channel,Web,18863,9490,9373,0.012961011591148578,0.005761229062199936,0.007199782528948642,135.80949784355823,ok
newbie,0,21232,10621,10611,0.013934657753507202,0.007727829610781264,0.006206828142725938,131.78337512635713,ok
history_bucket,Medium history,14204,7069,7135,0.010609704342905644,0.0046250875963559914,0.005984616746549653,85.00549626799126,ok
recency_bucket,Medium recency,14204,7022,7182,0.01082312731415551,0.005291005291005291,0.00553212202315022,78.57826121682572,ok
channel,Phone,18567,9240,9327,0.010822510822510822,0.005360780529645117,0.005461730292865705,101.40794634763755,ok
history_segment,1) $0 - $100,15336,7724,7612,0.009192128430864838,0.004203888596952181,0.004988239833912657,76.4996460928845,ok
history_bucket,Low history,14205,7146,7059,0.009235936188077247,0.004249893752656183,0.004986042435421063,70.8267327951562,ok
history_segment,2) $100 - $200,9527,4691,4836,0.008953314858239182,0.0041356492969396195,0.004817665561299562,45.89789980250093,ok
